id;title;archive;state;comments;student
1;Coche;Hecho;APROBADA;Datos payment;disintermediate Artesanal engage
2;Account;reboot;APROBADA;Usabilidad Analista;compress
3;card Azul Representante;Mascotas Glorieta;CONDICIONADA;Operaciones Refinado Investment;Guapo Marroquinería
4;mindshare strategize;Granito Prolongación Account;CONDICIONADA;Islands Seguro;Reactivo Futuro Amarillo
5;Quinta Hormigon Violeta;Account;RECHAZADA;Terrenos desafío Mejorado;Cambridgeshire Configuración
6;withdrawal AGP;Maldivas medición;RECHAZADA;Ergonómico;Identidad infrastructures
7;experiences groupware;Mesa Sudán;CONDICIONADA;convergence Metal;open-source
8;protocol;Jefe Parafarmacia navigate;APROBADA;Negro;digital neural
9;TCP Belarussian;Rand Planificador;RECHAZADA;PNG relationships política;bypass
10;Coche Camiseta;emulación navigate withdrawal;APROBADA;Municipio Granito;Ronda Práctico
